iter	RMSE
0	86123.90843
1	76098.61407
2	68344.78507
3	64770.2244
4	62860.17897
5	61250.253
6	60432.0049
7	59819.72416
8	59166.54567
9	58674.14383
10	57846.96517
11	57531.14807
12	57510.39411
13	56901.68152
14	56437.83413
15	55873.08209
16	55741.22547
17	55113.7159
18	54876.61459
19	54391.95703
20	53970.57898
21	53423.3674
22	53025.60589
23	52629.39499
24	52165.87752
25	51689.37238
26	51226.25976
27	50787.57328
28	50285.42003
29	49924.56386
30	49705.48844
31	49309.63359
32	49029.47476
33	48665.81359
34	48215.35614
35	47859.38747
36	47547.78809
37	47157.10584
38	47002.43215
39	46702.93726
40	46382.32952
41	46114.65137
42	45812.16909
43	45566.13259
44	45310.153
45	44866.96972
46	44586.28642
47	44263.30854
48	44044.33361
49	43708.36921
50	43397.88852
51	43244.98688
52	42879.80294
53	42518.50201
54	42293.70725
55	42182.14432
56	41932.47979
57	41684.39585
58	41415.02214
59	41222.26202
60	41060.03117
61	40827.27367
62	40658.73266
63	40531.39883
64	40289.3359
65	40078.52173
66	39807.67271
67	39693.38872
68	39484.14743
69	39250.413
70	38959.61529
71	38732.63839
72	38462.86698
73	38343.21802
74	38100.89349
75	37806.37321
76	37653.49837
77	37458.01695
78	37232.27929
79	37169.34181
80	37041.72116
81	36880.37562
82	36645.19017
83	36446.03347
84	36307.73847
85	36156.35661
86	36046.19559
87	35882.64915
88	35741.65655
89	35629.50556
90	35464.409
91	35326.10474
92	35214.56204
93	35035.92045
94	34889.03774
95	34790.79913
96	34654.32616
97	34478.95881
98	34303.8158
99	34154.1918
