iter	RMSE
0	85288.09248
1	77309.42918
2	70030.10839
3	66392.8294
4	64433.55226
5	63167.05663
6	62377.72644
7	61839.35044
8	61385.80458
9	60736.49285
10	60329.04768
11	59996.90117
12	59375.87214
13	58716.50523
14	58277.5974
15	58022.99158
16	57726.26897
17	57501.20081
18	57290.54816
19	57005.32737
20	56578.2117
21	55963.29144
22	55480.6814
23	55064.01407
24	54491.40246
25	54025.93148
26	53588.26956
27	53261.05248
28	52814.8628
29	52211.80251
30	51861.13581
31	51350.88226
32	51108.61882
33	50727.25185
34	50512.20851
35	50217.02395
36	49922.97249
37	49631.35616
38	49135.93442
39	48942.94007
40	48528.40414
41	48109.68566
42	47879.20858
43	47667.51358
44	47461.28832
45	47310.51653
46	47082.53472
47	46844.26094
48	46586.21037
49	46439.95014
50	46436.5828
51	46262.28083
52	46018.70227
53	45722.03408
54	45414.66272
55	45176.72203
56	44922.15547
57	44805.48265
58	44596.41284
59	44569.8274
60	44382.28004
61	44295.06668
62	44142.83997
63	43930.63094
64	43768.28298
65	43757.11441
66	43594.65672
67	43386.93178
68	43229.30348
69	42999.68849
70	42803.28639
71	42795.70253
72	42685.86272
73	42480.17134
74	42262.0452
75	42073.68013
76	41907.36081
77	41905.54422
78	41755.51896
79	41541.0667
80	41326.48735
81	41207.04269
82	41119.90029
83	40992.56944
84	40826.80662
85	40630.50916
86	40449.74356
87	40231.76281
88	40073.79641
89	40024.11349
90	39972.01504
91	39751.12513
92	39567.46153
93	39491.38176
94	39358.81214
95	39230.99667
96	39041.40902
97	38894.36134
98	38769.72221
99	38639.42437
