iter	Passed	Remaining
0	788	78070
1	1649	80802
2	2579	83402
3	3529	84707
4	4337	82408
5	5136	80471
6	6062	80543
7	6913	79505
8	7967	80563
9	8789	79101
10	9758	78952
11	10630	77956
12	11533	77185
13	12329	75735
14	13249	75078
15	14293	75041
16	15239	74402
17	16148	73565
18	17089	72855
19	17923	71694
20	18926	71200
21	19778	70124
22	20567	68857
23	21513	68125
24	22433	67301
25	23307	66337
26	24196	65419
27	25106	64558
28	25946	63524
29	26857	62666
30	27641	61523
31	28518	60601
32	29435	59763
33	30259	58738
34	31087	57734
35	31954	56808
36	32840	55918
37	33696	54977
38	34574	54077
39	35522	53284
40	36348	52306
41	37201	51373
42	38087	50487
43	38996	49631
44	39810	48656
45	40701	47779
46	41517	46817
47	42292	45816
48	43161	44923
49	44076	44076
50	44890	43130
51	45725	42208
52	46768	41473
53	47611	40557
54	48555	39727
55	49464	38864
56	50347	37981
57	51247	37110
58	52029	36156
59	52914	35276
60	53701	34333
61	54636	33487
62	55473	32579
63	56474	31766
64	57227	30814
65	58162	29962
66	59129	29123
67	60006	28238
68	60905	27363
69	61717	26450
70	62573	25558
71	63564	24719
72	64463	23842
73	65378	22970
74	66260	22086
75	67167	21210
76	68046	20325
77	68889	19430
78	69647	18514
79	70495	17623
80	71249	16712
81	71929	15789
82	72581	14865
83	73118	13927
84	73679	13002
85	74568	12139
86	75389	11265
87	76215	10393
88	77123	9532
89	77915	8657
90	78753	7788
91	79794	6938
92	80668	6071
93	81742	5217
94	82594	4347
95	83490	3478
96	84539	2614
97	85522	1745
98	86363	872
99	87213	0
